type,latitude,longitude,alt
T,48.195275,-3.01822333333,167.1
T,48.1952716667,-3.01822166667,167.1
T,48.1952666667,-3.01821833333,167.1
T,48.1952633333,-3.01821166667,167.0
T,48.1952583333,-3.01820833333,166.6
T,48.195255,-3.018205,166.4
T,48.19525,-3.01820166667,166.2
T,48.1952433333,-3.018195,166.3
T,48.1952366667,-3.01819,166.6
T,48.1952316667,-3.01819,166.3
T,48.1952283333,-3.01819166667,165.9
T,48.195225,-3.01819166667,165.5
T,48.1952233333,-3.01818666667,165.4
T,48.19522,-3.01817833333,165.4
T,48.195215,-3.01817,165.5
T,48.19521,-3.01816666667,165.2
T,48.195205,-3.01816166667,165.2
T,48.1952,-3.018155,165.3
T,48.1951966667,-3.01814666667,165.3
T,48.1951916667,-3.01813833333,165.4
T,48.1951866667,-3.01813,165.5
T,48.1951816667,-3.01812666667,165.3
T,48.1951766667,-3.01812,165.5
T,48.1951716667,-3.01811333333,165.4
T,48.1951666667,-3.01810666667,165.7
T,48.1951616667,-3.0181,165.7
T,48.1951583333,-3.01809166667,165.7
T,48.1951533333,-3.018085,165.7
T,48.1951483333,-3.01808,165.7
T,48.1951416667,-3.018075,165.8
T,48.195135,-3.01807166667,166.1
T,48.19513,-3.01806833333,166.5
T,48.1951233333,-3.01806,166.8
T,48.19512,-3.01805166667,167.0
T,48.195115,-3.01804166667,167.3
T,48.19511,-3.01803833333,167.1
T,48.195105,-3.01803166667,167.2
T,48.1951016667,-3.01802666667,167.2
T,48.1950966667,-3.01802333333,167.1
T,48.1950916667,-3.01802,167.1
T,48.195085,-3.01801666667,167.0
T,48.19508,-3.01801166667,166.9
T,48.195075,-3.01800666667,167.0
T,48.19507,-3.01799833333,167.4
T,48.1950666667,-3.01798833333,167.7
T,48.1950633333,-3.017975,168.0
T,48.19506,-3.01796166667,168.4
T,48.1950566667,-3.01794833333,168.8
T,48.1950533333,-3.01793833333,169.0
T,48.1950483333,-3.01793,169.2
T,48.1950466667,-3.01792,169.5
T,48.1950433333,-3.01791166667,169.7
T,48.1950416667,-3.01790166667,169.7
T,48.1950383333,-3.017895,169.5
T,48.195035,-3.01789,169.5
T,48.19503,-3.017885,169.4
T,48.195025,-3.01788333333,169.2
T,48.1950183333,-3.01788,169.0
T,48.1950133333,-3.01787666667,168.9
T,48.1950083333,-3.01787333333,168.7
T,48.1950016667,-3.01787166667,168.7
T,48.194995,-3.01787333333,168.5
T,48.1949883333,-3.01787666667,168.3
T,48.1949833333,-3.01788166667,168.0
T,48.19498,-3.017885,167.5
T,48.1949783333,-3.01788666667,166.9
T,48.1949783333,-3.01788333333,166.7
T,48.1949816667,-3.01788166667,166.4
T,48.194985,-3.01787666667,166.1
T,48.1949883333,-3.01786833333,166.0
T,48.1949883333,-3.01785166667,166.4
T,48.1949833333,-3.01783833333,166.7
T,48.1949783333,-3.01783,166.7
T,48.1949716667,-3.017825,166.8
T,48.194965,-3.01782,166.9
T,48.1949583333,-3.01781833333,167.0
T,48.1949516667,-3.01781833333,166.9
T,48.194945,-3.01782166667,166.8
T,48.1949383333,-3.01782,166.8
T,48.1949333333,-3.01781666667,166.7
T,48.19493,-3.01781,166.7
T,48.1949266667,-3.01780166667,166.7
T,48.1949216667,-3.01779333333,166.5
T,48.1949166667,-3.01778666667,166.5
T,48.19491,-3.01778166667,166.5
T,48.1949033333,-3.01777833333,166.6
T,48.1948983333,-3.017775,166.4
T,48.1948933333,-3.01777166667,166.5
T,48.19489,-3.01776666667,166.6
T,48.1948883333,-3.01776166667,166.7
T,48.1948866667,-3.01776,166.7
T,48.1948866667,-3.01776166667,166.6
T,48.1948866667,-3.01776166667,166.6
T,48.1948866667,-3.01776166667,166.6
T,48.1948866667,-3.01776166667,166.6
T,48.194885,-3.01776333333,166.5
T,48.1948833333,-3.017765,166.8
T,48.1948816667,-3.01776333333,166.9
T,48.19488,-3.01776333333,166.9
T,48.194875,-3.01776166667,166.8
T,48.1948683333,-3.01775833333,167.0
T,48.1948616667,-3.01775166667,167.3
T,48.194855,-3.01774333333,167.6
